Timestamp,Sensor Type,Value1,Value2,Value3
1777292103994,2,-44.0250,10.1250,10.1250
1777292104014,1,-4.3038,-8.3596,0.3990
1777292104015,1,-2.0668,-7.7315,3.1038
1777292104015,1,0.0054,-7.4019,3.4516
1777292104030,5,42.1600,198.4125,1033.0000
1777292104033,9,-0.1244,-9.6565,-1.7047
1777292104042,4,0.3471,-1.1817,4.1340
1777292104061,2,-38.1000,27.4500,10.0500
1777292104081,1,1.1985,-7.9747,4.1022
1777292104081,1,1.4163,-12.1403,3.7732
1777292104081,1,-2.9949,-20.2690,2.9916
1777292104104,9,-1.3597,-9.7070,-0.3096
1777292104112,4,2.5725,-2.6689,-0.2147
1777292104129,2,-34.2000,30.9750,13.5750
1777292104148,1,-5.3554,-22.8470,5.2908
1777292104148,1,-1.3902,-14.7341,5.4479
1777292104148,1,-0.5608,-8.5400,2.4302
1777292104148,1,-0.8216,-7.8637,-0.6604
1777292104173,9,-1.1006,-9.4263,2.4707
1777292104180,4,3.7953,-1.0909,0.1387
1777292104191,5,85.4500,239.1625,2103.0000
1777292104198,2,-34.6500,33.0000,6.4500
1777292104214,1,-4.5054,-7.2858,-7.8754
1777292104214,1,-5.9982,-8.8352,-20.1177
1777292104214,1,1.0355,-10.9801,-6.2483
1777292104242,9,-1.8092,-9.3762,2.2323
1777292104251,4,1.4888,2.5197,1.0941
1777292104269,2,-32.7750,36.0000,1.8000
1777292104281,1,2.2687,-11.0189,4.6831
1777292104281,1,2.3602,-11.2337,8.2017
1777292104281,1,2.8274,-11.2603,5.6931
1777292104310,9,-1.7547,-9.2611,2.7061
1777292104320,4,0.6124,-0.6480,0.2992
1777292104337,2,-30.8250,36.4500,-2.0250
1777292104348,1,1.2754,-10.3226,-1.1877
1777292104348,1,-3.7702,-10.9983,-5.6016
1777292104348,1,-5.7882,-12.1744,-3.0933
1777292104350,5,86.2400,239.8750,2091.0000
1777292104380,9,-2.0344,-9.3084,2.3206
1777292104391,4,-0.3047,0.4398,0.1061
1777292104407,2,-29.7000,37.4250,-2.1750
1777292104415,1,-2.3743,-14.5358,2.6916
1777292104415,1,0.7451,-14.0064,0.5803
1777292104415,1,1.3842,-11.6743,-2.5510
1777292104415,1,3.3135,-14.0079,-1.7477
1777292104451,9,-1.2102,-9.6859,0.9425
1777292104460,4,-2.7831,0.1950,-0.6781
1777292104481,1,4.3768,-19.8329,-2.9809
1777292104481,1,3.0882,-18.9015,-6.8946
1777292104481,1,0.3601,-13.5254,-3.0966
1777292104488,2,-31.2000,36.8250,4.2000
1777292104510,1,-0.7756,-12.2285,2.8400
1777292104510,5,88.0900,241.5375,2145.0000
1777292104520,9,-0.6157,-9.7476,-0.8808
1777292104527,4,-3.3666,-2.7232,-1.1643
1777292104548,1,-2.5062,-14.0539,7.5123
1777292104548,1,-5.8358,-16.2467,7.0035
1777292104555,2,-31.9500,32.5500,11.2500
1777292104589,9,-1.0287,-9.4906,-2.2450
1777292104597,4,-2.3071,1.1301,-0.3994
1777292104614,1,-7.7001,-16.6893,2.7754
1777292104614,1,-5.7900,-16.3893,-2.9548
1777292104614,1,-6.0811,-14.1233,-5.0013
1777292104614,1,-6.3150,-11.4428,-3.7463
1777292104623,2,-30.6750,28.6500,18.8250
1777292104658,9,-0.6873,-9.2784,-3.0998
1777292104668,4,-1.1474,1.7958,-0.1231
1777292104671,5,88.8500,237.1375,2184.0000
1777292104681,1,-5.1637,-9.8599,1.1797
1777292104681,1,-2.0710,-9.0488,7.1862
1777292104681,1,0.1125,-8.4060,4.3768
1777292104693,2,-35.7750,25.8750,18.1500
1777292104727,9,0.1146,-9.2636,-3.2162
1777292104737,4,-1.1541,-1.6032,-1.5372
1777292104747,1,1.7133,-8.6865,2.8172
1777292104747,1,3.7543,-8.4846,4.1865
1777292104747,1,2.7434,-5.5367,3.2521
1777292104762,2,-36.9000,22.0500,20.6250
1777292104796,9,0.0253,-8.9712,-3.9607
1777292104814,4,-1.3120,-2.2064,-0.9352
1777292104816,1,-0.8928,-2.2167,2.2750
1777292104816,1,-3.7211,-0.6090,1.9083
1777292104816,1,-3.7002,0.0281,1.6561
1777292104816,1,-2.2741,0.2447,-1.2317
1777292104829,5,85.1200,226.4500,2073.0000
1777292104831,2,-33.6750,15.9000,26.8500
1777292104868,9,0.2066,-8.1486,-5.4524
1777292104881,1,-0.9182,0.0736,-6.3685
1777292104881,1,0.8318,-1.5861,-10.5990
1777292104881,1,3.2674,-4.1650,-10.1169
1777292104886,4,0.3529,1.4952,-0.3120
1777292104902,2,-33.7500,12.6750,28.1250
1777292104937,9,0.4472,-8.4668,-4.9278
1777292104947,1,4.7569,-8.9465,-8.3151
1777292104948,1,5.8768,-15.2991,-7.1557
1777292104948,1,1.6965,-13.7178,-6.2130
1777292104955,4,-0.1936,-3.4334,0.0269
1777292104971,2,-31.1250,14.0250,33.6000
1777292104994,5,75.1400,215.2750,1835.0000
1777292105005,9,-1.0568,-8.2897,-5.1317
1777292105016,1,1.1853,-8.4628,-6.2106
1777292105017,1,2.0285,-2.3474,-0.5100
1777292105017,1,-10.1184,1.0887,-16.5356
1777292105017,1,-34.3400,-12.9314,-0.5432
1777292105026,4,1.3239,0.7738,2.3228
1777292105040,2,-32.3250,15.3000,34.2750
1777292105074,9,-1.1993,-9.2196,-3.1196
1777292105082,1,-11.8971,-26.4990,4.3128
1777292105082,1,5.7811,-15.7777,-1.6478
1777292105082,1,3.2838,-5.6261,3.4164
1777292105093,4,2.6394,3.7220,0.1101
1777292105109,2,-35.0250,22.5750,23.2500
1777292105143,9,-1.2375,-9.6352,-1.3422
1777292105148,1,-0.7917,-6.4095,6.2925
1777292105148,1,-1.5452,-11.9677,6.1555
1777292105148,1,-1.0705,-12.6760,3.3852
1777292105154,5,69.2200,200.4250,1703.0000
1777292105160,4,1.3748,0.6695,1.9839
1777292105178,2,-34.7250,28.5000,13.2750
1777292105213,9,-1.6034,-9.6745,0.0534
1777292105215,1,0.8267,-14.2968,4.6253
1777292105215,1,1.5296,-15.2294,2.9638
1777292105215,1,3.8034,-15.1834,-0.0694
1777292105215,1,5.7308,-12.2925,-2.9701
1777292105230,4,1.8703,-1.9584,-0.7013
1777292105254,2,-32.5500,32.7750,15.7500
1777292105284,1,3.9114,-8.1727,-3.1935
1777292105284,1,-0.3060,-5.9402,-0.8964
1777292105284,1,-2.0581,-5.5857,-0.3338
1777292105287,9,-0.9079,-9.6506,1.4872
1777292105301,4,2.4225,0.4207,0.1141
1777292105310,5,55.8500,188.3125,1367.0000
1777292105321,2,-34.4250,32.9250,10.7250
1777292105348,1,-3.3664,-5.9551,-1.5108
1777292105348,1,-3.5049,-8.3650,-1.9860
1777292105348,1,-1.5942,-13.0280,-0.1122
1777292105353,9,-1.3742,-9.4493,2.2344
1777292105370,4,1.8546,2.1942,0.6408
1777292105387,2,-32.1000,35.8500,1.4250
1777292105417,1,0.9407,-12.3658,1.9714
1777292105417,1,1.9546,-8.5813,1.8766
1777292105417,1,-1.2093,-5.2481,0.8931
1777292105417,1,-8.6321,-3.2859,-0.4786
1777292105424,9,-2.3634,-8.9963,3.1066
1777292105438,4,1.1530,-0.1377,1.3428
1777292105458,2,-30.9750,37.0500,-0.9750
1777292105472,5,68.4300,199.7125,1736.0000
1777292105482,1,-12.0763,-5.4793,-1.0229
1777292105482,1,-1.4264,-16.1372,1.6089
